kingdom,clan,family,name,url
"Docs, Spec, Metadata",Docs,Docs From the REPL,doc,https://clojuredocs.org/clojure_core/clojure.repl/doc
"Docs, Spec, Metadata",Docs,Docs From the REPL,find-doc,https://clojuredocs.org/clojure_core/clojure.repl/find-doc
"Docs, Spec, Metadata",Docs,Docs From the REPL,apropos,https://clojuredocs.org/clojure_core/clojure.repl/apropos
"Docs, Spec, Metadata",Docs,Docs From the REPL,dir,https://clojuredocs.org/clojure_core/clojure.repl/dir
"Docs, Spec, Metadata",Docs,Docs From the REPL,source,https://clojuredocs.org/clojure_core/clojure.repl/source
"Docs, Spec, Metadata",Docs,Docs From the REPL,pst,https://clojuredocs.org/clojure_core/clojure.repl/pst
"Docs, Spec, Metadata",Docs,Docs From the REPL,javadoc,https://clojuredocs.org/clojure_core/clojure.java.javadoc/javadoc
"Strings, Numbers",Numbers,Literals,Long,https://docs.oracle.com/javase/8/docs/api/java/lang/Long.html
"Strings, Numbers",Numbers,Literals,Double,https://docs.oracle.com/javase/8/docs/api/java/lang/Double.html
"Strings, Numbers",Numbers,Literals,BigDecimal,https://docs.oracle.com/javase/8/docs/api/java/math/BigDecimal.html
"Strings, Numbers",Numbers,Arithmetic,+,https://clojuredocs.org/clojure_core/clojure.core/%2B
"Strings, Numbers",Numbers,Arithmetic,-,https://clojuredocs.org/clojure_core/clojure.core/-
"Strings, Numbers",Numbers,Arithmetic,*,https://clojuredocs.org/clojure_core/clojure.core/*
"Strings, Numbers",Numbers,Arithmetic,/,https://clojuredocs.org/clojure_core/clojure.core/_fs
"Strings, Numbers",Numbers,Arithmetic,quot,https://clojuredocs.org/clojure_core/clojure.core/quot
"Strings, Numbers",Numbers,Arithmetic,rem,https://clojuredocs.org/clojure_core/clojure.core/rem
"Strings, Numbers",Numbers,Arithmetic,mod,https://clojuredocs.org/clojure_core/clojure.core/mod
"Strings, Numbers",Numbers,Arithmetic,inc,https://clojuredocs.org/clojure_core/clojure.core/inc
"Strings, Numbers",Numbers,Arithmetic,dec,https://clojuredocs.org/clojure_core/clojure.core/dec
"Strings, Numbers",Numbers,Arithmetic,max,https://clojuredocs.org/clojure_core/clojure.core/max
"Strings, Numbers",Numbers,Arithmetic,min,https://clojuredocs.org/clojure_core/clojure.core/min
"Strings, Numbers",Numbers,Arithmetic,+,https://clojuredocs.org/clojure_core/clojure.core/%2B%27
"Strings, Numbers",Numbers,Arithmetic,-',https://clojuredocs.org/clojure_core/clojure.core/-%27
"Strings, Numbers",Numbers,Arithmetic,*',https://clojuredocs.org/clojure_core/clojure.core/*%27
"Strings, Numbers",Numbers,Arithmetic,inc',https://clojuredocs.org/clojure_core/clojure.core/inc%27
"Strings, Numbers",Numbers,Arithmetic,dec',https://clojuredocs.org/clojure_core/clojure.core/dec%27
"Strings, Numbers",Numbers,Compare,==,https://clojuredocs.org/clojure_core/clojure.core/%3D%3D
"Strings, Numbers",Numbers,Compare,<,https://clojuredocs.org/clojure_core/clojure.core/%3C
"Strings, Numbers",Numbers,Compare,>,https://clojuredocs.org/clojure_core/clojure.core/%3E
"Strings, Numbers",Numbers,Compare,<=,https://clojuredocs.org/clojure_core/clojure.core/%3C%3D
"Strings, Numbers",Numbers,Compare,>=,https://clojuredocs.org/clojure_core/clojure.core/%3E%3D
"Strings, Numbers",Numbers,Compare,compare,https://clojuredocs.org/clojure_core/clojure.core/compare
"Strings, Numbers",Numbers,Bitwise,bit-and,https://clojuredocs.org/clojure_core/clojure.core/bit-and
"Strings, Numbers",Numbers,Bitwise,bit-or,https://clojuredocs.org/clojure_core/clojure.core/bit-or
"Strings, Numbers",Numbers,Bitwise,bit-xor,https://clojuredocs.org/clojure_core/clojure.core/bit-xor
"Strings, Numbers",Numbers,Bitwise,bit-not,https://clojuredocs.org/clojure_core/clojure.core/bit-not
"Strings, Numbers",Numbers,Bitwise,bit-flip,https://clojuredocs.org/clojure_core/clojure.core/bit-flip
"Strings, Numbers",Numbers,Bitwise,bit-set,https://clojuredocs.org/clojure_core/clojure.core/bit-set
"Strings, Numbers",Numbers,Bitwise,bit-shift-right,https://clojuredocs.org/clojure_core/clojure.core/bit-shift-right
"Strings, Numbers",Numbers,Bitwise,bit-shift-left,https://clojuredocs.org/clojure_core/clojure.core/bit-shift-left
"Strings, Numbers",Numbers,Bitwise,bit-and-not,https://clojuredocs.org/clojure_core/clojure.core/bit-and-not
"Strings, Numbers",Numbers,Bitwise,bit-clear,https://clojuredocs.org/clojure_core/clojure.core/bit-clear
"Strings, Numbers",Numbers,Bitwise,bit-test,https://clojuredocs.org/clojure_core/clojure.core/bit-test
